Image Name,Class Name,Class Index
n01443537_0.JPEG,n01443537,0
n01443537_1.JPEG,n01443537,0
n01443537_10.JPEG,n01443537,0
n01443537_100.JPEG,n01443537,0
n01443537_101.JPEG,n01443537,0
n01443537_102.JPEG,n01443537,0
n01443537_103.JPEG,n01443537,0
n01443537_104.JPEG,n01443537,0
n01443537_105.JPEG,n01443537,0
n01443537_106.JPEG,n01443537,0
n01443537_107.JPEG,n01443537,0
n01443537_108.JPEG,n01443537,0
n01443537_109.JPEG,n01443537,0
n01443537_11.JPEG,n01443537,0
n01443537_110.JPEG,n01443537,0
n01443537_111.JPEG,n01443537,0
n01443537_112.JPEG,n01443537,0
n01443537_113.JPEG,n01443537,0
n01443537_114.JPEG,n01443537,0
n01443537_115.JPEG,n01443537,0
n01443537_116.JPEG,n01443537,0
n01443537_117.JPEG,n01443537,0
n01443537_118.JPEG,n01443537,0
n01443537_119.JPEG,n01443537,0
n01443537_12.JPEG,n01443537,0
n01443537_120.JPEG,n01443537,0
n01443537_121.JPEG,n01443537,0
n01443537_122.JPEG,n01443537,0
n01443537_123.JPEG,n01443537,0
n01443537_124.JPEG,n01443537,0
n01443537_125.JPEG,n01443537,0
n01443537_126.JPEG,n01443537,0
n01443537_127.JPEG,n01443537,0
n01443537_128.JPEG,n01443537,0
n01443537_129.JPEG,n01443537,0
n01443537_13.JPEG,n01443537,0
n01443537_130.JPEG,n01443537,0
n01443537_131.JPEG,n01443537,0
n01443537_132.JPEG,n01443537,0
n01443537_133.JPEG,n01443537,0
n01443537_134.JPEG,n01443537,0
n01443537_135.JPEG,n01443537,0
n01443537_136.JPEG,n01443537,0
n01443537_137.JPEG,n01443537,0
n01443537_138.JPEG,n01443537,0
n01443537_139.JPEG,n01443537,0
n01443537_14.JPEG,n01443537,0
n01443537_140.JPEG,n01443537,0
n01443537_141.JPEG,n01443537,0
n01443537_142.JPEG,n01443537,0
n01443537_143.JPEG,n01443537,0
n01443537_144.JPEG,n01443537,0
n01443537_145.JPEG,n01443537,0
n01443537_146.JPEG,n01443537,0
n01443537_147.JPEG,n01443537,0
n01443537_148.JPEG,n01443537,0
n01443537_149.JPEG,n01443537,0
n01443537_15.JPEG,n01443537,0
n01443537_150.JPEG,n01443537,0
n01443537_151.JPEG,n01443537,0
n01443537_152.JPEG,n01443537,0
n01443537_153.JPEG,n01443537,0
n01443537_154.JPEG,n01443537,0
n01443537_155.JPEG,n01443537,0
n01443537_156.JPEG,n01443537,0
n01443537_157.JPEG,n01443537,0
n01443537_158.JPEG,n01443537,0
n01443537_159.JPEG,n01443537,0
n01443537_16.JPEG,n01443537,0
n01443537_160.JPEG,n01443537,0
n01443537_161.JPEG,n01443537,0
n01443537_162.JPEG,n01443537,0
n01443537_163.JPEG,n01443537,0
n01443537_164.JPEG,n01443537,0
n01443537_165.JPEG,n01443537,0
n01443537_166.JPEG,n01443537,0
n01443537_167.JPEG,n01443537,0
n01443537_168.JPEG,n01443537,0
n01443537_169.JPEG,n01443537,0
n01443537_17.JPEG,n01443537,0
